0      1      2      
895   849   1127   
2631.61   1841.49   1332.47   

Agents
0   395.077   395.077
1   326.404   326.404
2   170.715   170.715
3   135.691   135.691
4   67.2592   67.2592
5   805.591   805.591
6   125.552   125.552
7   197.036   197.036
8   100.737   100.737
9   870.378   870.378


0      1      2      
999.46   999.332   999.445   
1375.03   1375.19   1375.1   

Agents
0   317.137   0
1   317.239   0
2   317.318   0
3   317.576   0
4   317.114   0
5   317.265   0
6   317.271   0
7   317.008   0
8   317.15   0
9   317.56   0


