0      1      2      
968   1012   1001   
2302.88   1329.44   1544.35   

Agents
0   395.077   395.077
1   326.404   326.404
2   170.715   170.715
3   135.691   135.691
4   67.2592   67.2592
5   805.591   805.591
6   125.552   125.552
7   197.036   197.036
8   100.737   100.737
9   870.378   870.378
10   344.168   344.168
11   59.1141   59.1141
12   408.149   408.149
13   87.5014   87.5014
14   270.826   270.826


0      1      2      
997.855   999.576   998.96   
1911.22   1910.67   1901.36   

Agents
0   316.698   0
1   315.569   0
2   317.814   0
3   318.662   0
4   311.95   0
5   316.431   0
6   321.282   0
7   320.3   0
8   322.363   0
9   316.822   0
10   317.178   0
11   320.62   0
12   320.342   0
13   315.088   0
14   318.034   0


