0      1      2      
895   849   1127   
1761.23   971.115   462.095   

Agents
0   870.378   870.378
1   805.591   805.591
2   395.077   395.077
3   326.404   326.404
4   197.036   197.036
5   170.715   170.715
6   135.691   135.691
7   125.552   125.552
8   100.737   100.737
9   67.2592   67.2592


0      1      2      
999.2   973.6   995.65   
1099.31   1078.56   945.732   

Agents
0   772.927   772.927
1   590.064   590.064
2   448.372   448.372
3   319.806   319.806
4   259.505   259.505
5   224.236   224.236
6   179.959   179.959
7   152.347   152.347
8   104.359   104.359
9   72.0354   72.0354
