0      1      2      
895   849   1127   
895   849   1127   

Agents
0   395.077   40.002
1   326.404   33.0487
2   170.715   17.285
3   135.691   13.7388
4   67.2592   6.81006
5   805.591   81.5669
6   125.552   12.7122
7   197.036   19.9501
8   100.737   10.1997
9   870.378   88.1267


0      1      2      
999.2   973.6   995.65   
982.487   921.257   826.181   

Agents
0   314.89   37.1117
1   333.428   32.9069
2   295.821   42.9076
3   274.335   31.8543
4   327.661   41.984
5   285.801   42.0068
6   340.492   42.7758
7   287.268   41.997
8   295.876   37.5785
9   368.038   42.5617


