0      1      2      
895   849   1127   
895   849   1127   

Agents
0   395.077   40.002
1   326.404   33.0487
2   170.715   17.285
3   135.691   13.7388
4   67.2592   6.81006
5   805.591   81.5669
6   125.552   12.7122
7   197.036   19.9501
8   100.737   10.1997
9   870.378   88.1267


0      1      2      
999.46   999.332   999.445   
936.767   915.505   894.175   

Agents
0   317.137   42.5396
1   317.239   42.6484
2   317.318   42.6203
3   317.576   42.6315
4   317.114   42.5764
5   317.265   42.6476
6   317.271   42.6375
7   317.008   42.6005
8   317.15   42.611
9   317.56   42.6782


