0      1      2      
968   1012   1001   
968   1012   1001   

Agents
0   395.077   125.217
1   326.404   103.451
2   170.715   54.1067
3   135.691   43.0062
4   67.2592   21.3173
5   805.591   255.326
6   125.552   39.7927
7   197.036   62.4491
8   100.737   31.9277
9   870.378   275.86
10   344.168   109.081
11   59.1141   18.7358
12   408.149   129.36
13   87.5014   27.7329
14   270.826   85.8363


0      1      2      
997.855   999.576   998.96   
994.659   996.759   994.272   

Agents
0   316.698   118.403
1   315.569   118.123
2   317.814   118.576
3   318.662   118.987
4   311.95   116.91
5   316.431   117.974
6   321.282   120.117
7   320.3   119.734
8   322.363   120.459
9   316.822   118.342
10   317.178   118.769
11   320.62   120.416
12   320.342   119.609
13   315.088   117.903
14   318.034   119.142


